"crime_id","offense_date","agency_crimetype_id","city","state","coord1","coord2","masked_address","location","category",":@computed_region_me95_vbw4",":@computed_region_xf2b_u4zq",":@computed_region_gxae_hf64",":@computed_region_stch_rtry",":@computed_region_dgrd_cuuf",":@computed_region_m99d_em2n",":@computed_region_nyzj_ikpv",":@computed_region_g8my_uw59",":@computed_region_fe8q_buag",":@computed_region_y9za_kydd",":@computed_region_khsv_6puy",":@computed_region_pukb_5jqa",":@computed_region_fuzm_ngj2",":@computed_region_scpn_qt9a"
"1705008205ME [16:090]","2017-05-16T16:30:00.000","Aggravated Assault/DV","Memphis","TN","35.033","-90.006","1800 Wilchester Ln","POINT (-90.006 35.033)","Assault","15","12","3","1","43","21",,"7","1","7",,,"3","1"
"2003004905ME [07:930]","2020-03-10T16:00:00.000","Vandalism/Misdemeanor","Memphis","TN","35.094","-89.952","3400 Kimball Ave","POINT (-89.952 35.094)","Property Crime","10","5","5","1",,,,"20","1","1",,,"4","1"
"1503005888ME [26:580]","2014-12-25T12:00:00.000","Theft from Motor Vehicle","Memphis","TN","35.114","-89.941","3700 Spottswood","POINT (-89.941 35.114)","Theft from Vehicle","10","9","4","2","21",,"4","29","2","9",,,"5","2"
"1510009034ME [17:300]","2015-10-18T05:00:00.000","Burglary/Residential","Memphis","TN","35.034","-89.865","4300 Cedartree","POINT (-89.865 35.034)","Breaking & Entering","31","10","3","1","8","2","1","1","1","8",,,"3","1"
"1608014378ME [03:057]","2016-08-27T19:00:00.000","Aggravated Assault/DV","Memphis","TN","35.095","-89.973","2800 Kimball","POINT (-89.973 35.095)","Assault","13","5","5","1","9",,,"21","1","1",,,"4","1"
"2307002591ME [09:607]","2023-07-05T19:00:00.000","Aggravated Assault","Memphis","TN","35.223","-89.947","3600 Westline Dr","POINT (-89.947 35.223)","Assault","24","2","7","2","25","10",,"50","2","3",,,"1","2"
"1901003518ME [12:810]","2019-01-08T03:00:00.000","MVT/Passenger Vehicle","Memphis","TN","35.092","-89.916","1500 Cherry Rd","POINT (-89.916 35.092)","Theft of Vehicle","16","9","5","2",,,,"18","1","5",,,"5","2"
"1801006689ME [07:457]","2018-01-13T12:00:00.000","Burglary/Non-residential","Memphis","TN","35.152","-90.050","300 North Main St","POINT (-90.05 35.152)","Breaking & Entering","3","8","7","1","2",,,"37","2","6",,,"7","1"
"1506001284ME [19:457]","2015-06-01T18:15:00.000","Shoplifting/Misdemeanor","Memphis","TN","35.053","-89.992","2200 Winchester Rd","POINT (-89.992 35.053)","Theft","15","12","3","1","43","21",,"7","1","7",,,"3","1"
"2307008806ME [06:930]","2023-07-16T16:45:00.000","Possible Stolen MVT","Memphis","TN","35.106","-90.036","E Waldorf Ave//Leland St","POINT (-90.036 35.106)","Theft of Vehicle","6","14","6","1","9","5",,"23","1","1",,,"6","1"
"1207001198ME [31:533]","2012-07-03T06:00:00.000","Vandalism/Misdemeanor","Memphis","TN","35.205","-90.004","2900 Falling Stream Cv","POINT (-90.004 35.205)","Property Crime","23","1","7","1","12","4",,"49","2","3",,,"7","1"
"2308000322ME [39:147]","2023-07-31T17:50:00.000","MVT/Passenger Vehicle","Memphis","TN","35.114","-89.943","700 Brister St","POINT (-89.943 35.114)","Theft of Vehicle","10","9","4","2","21",,"4","29","2","9",,,"5","2"
"1407009720ME [32:860]","2014-07-18T16:30:00.000","Simple Assault","Memphis","TN",,,"1900 Evelyn",,"Assault",,,,,,,,,,,,,,
"1409008463ME [26:510]","2014-09-14T09:00:00.000","Vandalism/Misdemeanor","Memphis","TN","35.111","-90.007","1700 Glenview","POINT (-90.007 35.111)","Property Crime","6","8","5","1","9","15",,"26","2","4",,,"4","1"
"1507010689ME [47:723]","2015-07-20T05:30:00.000","Simple Assault/DV","Memphis","TN","35.096","-89.970","1900 Pendleton","POINT (-89.97 35.096)","Assault","13","5","5","1",,,,"20","1","1",,,"4","1"
"1707002619ME [41:500]","2017-07-05T19:00:00.000","Other Theft/Non-Specific","Memphis","TN","35.233","-89.934","4000 Winker","POINT (-89.934 35.233)","Theft","24","2","1","2","25","10",,"54","2","3",,,"1","2"
"1306010810ME [50:300]","2013-06-18T15:00:00.000","Vandalism/Misdemeanor","Memphis","TN",,,"1900 Thomas",,"Property Crime",,,,,,,,,,,,,,
"2308006640ME [05:740]","2023-08-12T04:29:00.000","Stolen Property Offense","Memphis","TN","35.054","-90.010","Winchester Rd//Fontaine Rd","POINT (-90.01 35.054)","Theft","15","12","3","1","43","21",,"13","1","7",,,"3","1"
"1404007731ME [06:203]","2014-04-13T15:30:00.000","Vandalism/Misdemeanor","Memphis","TN",,,"1000 Del Mar",,"Property Crime",,,,,,,,,,,,,,
"1506009404ME [07:830]","2015-06-17T01:00:00.000","Vandalism/Felony","Memphis","TN","35.094","-90.121","1600 Genesis Cir","POINT (-90.121 35.094)","Property Crime","12","14","6","1",,,,"27","2","4",,,"6","1"
"1410006109ME [29:090]","2014-10-11T19:00:00.000","Shoplifting/Misdemeanor","Memphis","TN","35.117","-89.913","4500 Poplar Ave","POINT (-89.913 35.117)","Theft","16","9","4","2",,,,"29","2","9",,,"5","2"
"2308003301ME [17:500]","2023-08-06T15:00:00.000","Simple Assault/DV","Memphis","TN","35.104","-90.043","1600 Mcmillan St","POINT (-90.043 35.104)","Assault","6","14","6","1","9","5",,"23","1","1",,,"6","1"
"1502006627ME [49:320]","2015-01-06T07:50:00.000","Intimidation","Memphis","TN","35.106","-90.017","1500 Wilson","POINT (-90.017 35.106)","Assault","6","14","5","1","9",,,"22","1","1",,,"4","1"
"1706015065ME [02:530]","2017-06-29T01:30:00.000","Robbery/Individual","Memphis","TN","35.142","-89.996","Poplar//Tucker","POINT (-89.996 35.142)","Robbery","4","8","4","2","19",,,"34","2","4",,,"4","2"
"1508005429ME [19:210]","2015-08-11T23:30:00.000","Carjacking","Memphis","TN","35.042","-90.057","200 S Wesley Oaks Cr","POINT (-90.057 35.042)","Robbery","9","13","6","1",,,,"15","1","7",,,"6","1"
"2308008064ME [21:617]","2023-08-14T19:45:00.000","Intimidation/DV","Memphis","TN","35.009","-90.031","5200 Windham Rd","POINT (-90.031 35.009)","Assault","15","12","3","1","43","21",,"3","1","7",,,"3","1"
"1602004973ME [23:560]","2016-02-08T00:00:00.000","Theft from Building","Memphis","TN","35.107","-89.885","1000 Estate Dr","POINT (-89.885 35.107)","Theft","18","4","4","2",,,,"39","2","2",,,"2","2"
"2003003082ME [35:157]","2020-03-07T17:30:00.000","Simple Assault","Memphis","TN","35.140","-90.051","300 Beale St","POINT (-90.051 35.14)","Assault","3","8","6","1","42","20",,"31","2","6",,,"7","1"
"1511014091ME [03:013]","2015-11-29T08:00:00.000","Theft from Motor Vehicle","Memphis","TN","35.069","-89.843","6600 Quince Rd","POINT (-89.843 35.069)","Theft from Vehicle","18","4","2","2",,,,"17","1","5",,,"2","2"
"1408011888ME [50:200]","2014-08-21T04:15:00.000","Aggravated Assault","Memphis","TN","35.117","-90.002","Lamar//Seattle","POINT (-90.002 35.117)","Assault","13","8","5","1","9","14",,"26","2","4",,,"4","2"
"1403012391ME [15:090]","2014-03-23T04:20:00.000","Theft from Motor Vehicle","Memphis","TN",,,"400 S Cleveland",,"Theft from Vehicle",,,,,,,,,,,,,,
"2005009236ME [06:993]","2020-05-23T18:00:00.000","Burglary/Residential","Memphis","TN","35.152","-89.912","800 Berclair St","POINT (-89.912 35.152)","Breaking & Entering","20","6","4","2",,,,"40","2","9",,,"5","2"
